station,remote_cnt,booth_cnt,line_name_all,division_all,long,lat
BROADWAY-ENY,1,1,"A,C,J,L,Z",IND,,
BROADWAY/LAFAY,1,2,"B,D,F,Q,6",IND,,
BRONX PARK EAST,1,1,"2,5",IRT,-73.868356091781,40.8487686663389
BROOK AVE,1,2,6,IRT,-73.9192399990943,40.807565999877
BROOKLYN BRIDGE,1,2,"4,5,6,J,Z",IRT,,
BUHRE AVE,1,1,6,IRT,-73.8325690000374,40.8468099988855
BURKE AVE,1,1,"2,5",IRT,-73.867053617476,40.8712588025477
BURNSIDE AVE,1,1,4,IRT,-73.9076840015997,40.8534530015569
BUSHWICK AVE,1,1,L,BMT,,
CANAL ST,5,9,"J,N,Q,R,Z,6,A,C,E,1","BMT,IND,IRT",-74.0001929992733,40.7188030010771
CANAL ST,5,9,"J,N,Q,R,Z,6,A,C,E,1","BMT,IND,IRT",-74.0062770001748,40.7228539977878
CANAL ST,5,9,"J,N,Q,R,Z,6,A,C,E,1","BMT,IND,IRT",-73.9998263854594,40.7181738769739
CANAL ST,5,9,"J,N,Q,R,Z,6,A,C,E,1","BMT,IND,IRT",-74.0018260000577,40.719465001059
CANAL ST,5,9,"J,N,Q,R,Z,6,A,C,E,1","BMT,IND,IRT",-74.0010547130603,40.7188142635871
CARROLL ST,1,2,"F,G",IND,-73.9949469799884,40.6802733517018
CASTLE HILL AVE,1,1,6,IRT,-73.8512219996147,40.8342549982546
CATHEDRL-110 ST,1,2,"B,C",IND,,
CENTRAL AVE,1,1,M,BMT,-73.9272429990284,40.6978730001183
CHAMBERS ST,3,5,"A,C,E,2,3,1,4,5,6,J,Z","IND,IRT,BMT",-74.0085847357013,40.714111000774
CHAMBERS ST,3,5,"A,C,E,2,3,1,4,5,6,J,Z","IND,IRT,BMT",-74.0092660017011,40.7154780001133
CHAMBERS ST,3,5,"A,C,E,2,3,1,4,5,6,J,Z","IND,IRT,BMT",-74.0034067303134,40.7132337896267
CHAUNCEY ST,1,1,"J,Z",BMT,-73.9103835703338,40.682851300878
CHRISTOPHER ST,2,3,1,"IRT,PTH",,
CHURCH AVE,3,5,"B,Q,2,5,F,G","BMT,IRT,IND",-73.9797211622908,40.64427200013
CHURCH AVE,3,5,"B,Q,2,5,F,G","BMT,IRT,IND",-73.9628824619211,40.6504932464648
CHURCH AVE,3,5,"B,Q,2,5,F,G","BMT,IRT,IND",-73.9494551403533,40.6508606878022
CITY / BUS,1,1,1,PTH,,
CLARK ST,1,1,"2,3",IRT,-73.9930859982196,40.6974659999647
CLASSON AVE,1,1,G,IND,-73.9599900013721,40.6888890002646
CLEVELAND ST,1,1,J,BMT,-73.8851940021643,40.6797779989612
CLINTON-WASH AV,2,3,"C,G",IND,,
CORTELYOU ROAD,1,1,"B,Q",BMT,,
CORTLANDT ST,2,8,"R,1","BMT,IRT",-74.0121880011229,40.7118350008202
CORTLANDT ST,2,8,"R,1","BMT,IRT",-74.0111319647327,40.7105129841524
COURT SQ,2,3,"7,E,M,G","IRT,IND",-73.9452640003968,40.7470229988964
COURT SQ-23 ST,1,1,"E,M,G",IND,,
CRESCENT ST,1,1,"J,Z",BMT,-73.8739292521578,40.6831526570774
CROWN HTS-UTICA,1,2,"3,4",IRT,,
CYPRESS AVE,1,2,6,IRT,-73.9140419999475,40.8053680007636
CYPRESS HILLS,1,1,J,BMT,-73.87332199883,40.6896160008388
DEKALB AVE,2,2,"B,D,N,Q,R,L",BMT,-73.9817709444095,40.6906481199698
DEKALB AVE,2,2,"B,D,N,Q,R,L",BMT,-73.9182320021972,40.7036929996164
DELANCEY ST,1,2,"F,J,M,Z",IND,,
DITMARS BL-31 S,1,1,"N,Q",BMT,,
DITMAS AVE,1,2,F,IND,-73.9781719996516,40.6361186666629
DYCKMAN-200 ST,1,1,A,IND,,
DYCKMAN ST,1,1,1,IRT,-73.9255360000647,40.860531001388
DYCKMAN ST,1,1,1,IRT,-73.9272709996073,40.8654909989689
DYRE AVE,1,1,5,IRT,,
E 143 ST,1,2,6,IRT,,
E 149 ST,1,2,6,IRT,,
E 177 ST-PARKCH,1,1,6,IRT,,
E 180 ST,1,1,"2,5",IRT,,
E TREMONT AVE,1,2,"2,5",IRT,,
EAST 105 ST,1,1,L,BMT,,
EAST BROADWAY,1,2,F,IND,-73.990177001222,40.7138550010204
EASTERN PKWY,1,1,"2,3",IRT,,
ELDER AVE,1,1,6,IRT,-73.8791589987478,40.8285840010893
ELDERTS LANE,1,1,"J,Z",BMT,,
ELMHURST AVE,1,1,"M,R",IND,-73.8820347465864,40.7423700797217
ELTINGVILLE PK,1,1,Z,SRT,,
ESSEX ST,1,1,"F,J,M,Z",BMT,,
