distance,station_name,closest_station,closest_line,latitude,longitude,x1,cmplnt_num,addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,hadevelopt,housing_psa,jurisdiction_code,juris_desc,ky_cd,law_cat_cd,loc_of_occur_desc,ofns_desc,parks_nm,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,susp_age_group,susp_race,susp_sex,transit_district,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,lat_lon,new_georeferenced_column
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,1964,484243196,45,BRONX,07/12/2021,5:00:00,07/12/2021,6:40:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,07/12/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000204760331743889,FLATBUSH AVE.-BROOKLYN COLLEGE,AVENUE H,BQ,40.63289384,-73.94769921,1971,523670580,70,BROOKLYN,07/09/2021,15:18:00,07/09/2021,15:23:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,07/09/2021,UNKNOWN,UNKNOWN,U,32,UNKNOWN,UNKNOWN,D,998767,169858,"(40.632893841000055, -73.94769920999995)",POINT (-73.94769920999995 40.632893841000055)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2021,596241167,45,,07/09/2021,10:10:00,07/09/2021,10:40:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,105,FELONY,,ROBBERY,,PATROL BORO BRONX,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",TRANSIT - NYC SUBWAY,07/09/2021,18-24,BLACK,M,12,18-24,ASIAN / PACIFIC ISLANDER,M,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000138975488111421,PELHAM PKWY.,PELHAM PKWY,5,40.85657673,-73.84389368,2129,645508107,49,BRONX,07/08/2021,9:00:00,07/08/2021,10:06:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,07/09/2021,UNKNOWN,UNKNOWN,U,12,UNKNOWN,UNKNOWN,D,1027434,251387,"(40.85657672800004, -73.84389367799997)",POINT (-73.84389367799997 40.85657672800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2200,386071965,45,BRONX,06/27/2021,4:31:00,06/27/2021,5:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,06/27/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2278,885940472,45,BRONX,06/30/2021,14:05:00,06/30/2021,14:25:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO BRONX,301,"LARCENY,PETIT BY ACQUIRING LOS",TRANSIT - NYC SUBWAY,07/01/2021,,,,12,45-64,WHITE HISPANIC,F,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2294,874450826,45,BRONX,06/30/2021,10:15:00,06/30/2021,12:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,06/30/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2320,159524555,45,BRONX,06/27/2021,7:20:00,06/27/2021,8:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,06/27/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2333,696732490,45,BRONX,06/21/2021,7:28:00,06/21/2021,7:48:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,06/21/2021,,,,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000204760331743889,NOSTRAND AVENUE,AVENUE H,BQ,40.63289384,-73.94769921,2475,138489847,70,BROOKLYN,06/21/2021,5:21:00,06/21/2021,6:08:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BKLYN SOUTH,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,06/21/2021,UNKNOWN,UNKNOWN,U,32,UNKNOWN,UNKNOWN,D,998767,169858,"(40.632893841000055, -73.94769920999995)",POINT (-73.94769920999995 40.632893841000055)
0.000137685134208747,GUN HILL ROAD,233 ST,25,40.88731363,-73.84727176,2587,587400778,47,BRONX,06/06/2021,0:07:00,06/06/2021,0:12:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,359,MISDEMEANOR,,OFFENSES AGAINST PUBLIC ADMINI,,PATROL BORO BRONX,750,RESISTING ARREST,TRANSIT - NYC SUBWAY,06/09/2021,,,,12,UNKNOWN,UNKNOWN,E,1026480,262584,"(40.88731363400007, -73.84727175799998)",POINT (-73.84727175799998 40.88731363400007)
0.000204760331743889,FLATBUSH AVE.-BROOKLYN COLLEGE,AVENUE H,BQ,40.63289384,-73.94769921,2599,800475998,70,BROOKLYN,05/24/2021,14:30:00,,,COMPLETED,,,1,N.Y. TRANSIT POLICE,341,MISDEMEANOR,,PETIT LARCENY,,PATROL BORO BKLYN SOUTH,339,"LARCENY,PETIT FROM OPEN AREAS,",TRANSIT - NYC SUBWAY,06/10/2021,,,,32,18-24,BLACK,F,998767,169858,"(40.632893841000055, -73.94769920999995)",POINT (-73.94769920999995 40.632893841000055)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2613,751214253,45,BRONX,06/10/2021,6:04:00,06/10/2021,6:30:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,PATROL BORO BRONX,101,ASSAULT 3,TRANSIT - NYC SUBWAY,06/10/2021,25-44,ASIAN / PACIFIC ISLANDER,M,12,18-24,BLACK,F,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2620,382809527,45,BRONX,06/13/2021,5:00:00,06/13/2021,6:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,109,FELONY,,GRAND LARCENY,,PATROL BORO BRONX,408,"LARCENY,GRAND FROM PERSON,LUSH WORKER(SLEEPING/UNCON VICTIM)",TRANSIT - NYC SUBWAY,06/13/2021,UNKNOWN,UNKNOWN,U,12,25-44,ASIAN / PACIFIC ISLANDER,M,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
0.000137685134208747,GUN HILL ROAD,233 ST,25,40.88731363,-73.84727176,2723,115379322,47,BRONX,06/09/2021,0:07:00,06/09/2021,0:12:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,106,FELONY,,FELONY ASSAULT,,PATROL BORO BRONX,106,ASSAULT POLICE/PEACE OFFICER,TRANSIT - NYC SUBWAY,06/09/2021,18-24,BLACK,M,12,UNKNOWN,UNKNOWN,E,1026480,262584,"(40.88731363400007, -73.84727175799998)",POINT (-73.84727175799998 40.88731363400007)
0.000493869536909252,179 ST.-JAMAICA,BRIARWOOD,EF,40.72993936,-73.81043314,2768,655240480,107,QUEENS,06/02/2021,9:45:00,06/02/2021,10:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,233,MISDEMEANOR,,SEX CRIMES,,PATROL BORO QUEENS SOUTH,175,"SEXUAL ABUSE 3,2",TRANSIT - NYC SUBWAY,06/04/2021,25-44,BLACK HISPANIC,M,20,25-44,WHITE HISPANIC,F,1036790,205267,"(40.729939364000074, -73.81043314199997)",POINT (-73.81043314199997 40.729939364000074)
0.000138975488111421,PELHAM PKWY.,PELHAM PKWY,5,40.85657673,-73.84389368,2795,119835590,49,BRONX,06/01/2021,6:30:00,06/01/2021,11:00:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",TRANSIT - NYC SUBWAY,06/01/2021,UNKNOWN,UNKNOWN,U,12,UNKNOWN,UNKNOWN,D,1027434,251387,"(40.85657672800004, -73.84389367799997)",POINT (-73.84389367799997 40.85657672800004)
0.000141883148116865,GUN HILL ROAD,BAYCHESTER AV,5,40.87056162,-73.84640992,2849,474913130,49,BRONX,05/30/2021,16:32:00,05/30/2021,16:34:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,05/30/2021,,,,12,UNKNOWN,UNKNOWN,D,1026729,256481,"(40.87056161800007, -73.84640992199996)",POINT (-73.84640992199996 40.87056161800007)
0.000255805029090506,PELHAM BAY PARK,MIDDLETOWN RD,6,40.83072233,-73.82712606,2949,888451968,45,BRONX,06/05/2021,13:35:00,06/05/2021,13:40:00,COMPLETED,,,1,N.Y. TRANSIT POLICE,351,MISDEMEANOR,,CRIMINAL MISCHIEF & RELATED OF,,PATROL BORO BRONX,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",TRANSIT - NYC SUBWAY,06/05/2021,UNKNOWN,UNKNOWN,U,12,UNKNOWN,UNKNOWN,D,1032091,241976,"(40.83072232800004, -73.82712605899997)",POINT (-73.82712605899997 40.83072232800004)
