linename,station,flow,n,crime_rate
25,CHURCH AV,6795023.25,192,2.8255973958588e-05
25,E 180 ST,8714966.75,542,6.2191860915591e-05
25,FLATBUSH AV-B.C,16210838.625,85,5.24340547495889e-06
25,FREEMAN ST,5194649.25,245,4.71639158312758e-05
25,GUN HILL RD,9408601.75,6,6.37714312862695e-07
25,INTERVALE AV,4020500,621,0.000154458400696431
25,JACKSON AV,3582715.375,381,0.000106343920775454
25,NEREID AV,2888981.5,116,4.01525589554658e-05
25,NEWKIRK AV,7093067,109,1.53671183424603e-05
25,PELHAM PKWY,7499572.625,1,1.33340931544083e-07
25,PRESIDENT ST,4246590.5,274,6.45223503419979e-05
25,PROSPECT AV,5967279.875,79,1.32388628746863e-05
25,SIMPSON ST,5950430.5,551,9.25983422543965e-05
25,STERLING ST,5265800.25,134,2.54472242846659e-05
25,WEST FARMS SQ,7360921.75,380,5.16239695116987e-05
25,WINTHROP ST,4498667.125,381,8.46917518930677e-05
3,HARLEM 148 ST,4133444.25,190,4.59665084390578e-05
3,JUNIUS ST,3125358.75,134,4.28750779410524e-05
3,KINGSTON AV,5166442,121,2.3420373247198e-05
3,NEW LOTS AV,7129707,281,3.94125593099408e-05
3,NOSTRAND AV,4981435,1436,0.000288270347801387
3,PENNSYLVANIA AV,4097505.25,159,3.88040991527711e-05
3,ROCKAWAY AV,6516474.25,238,3.65228175343438e-05
3,SARATOGA AV,6483102.5,202,3.11579216894997e-05
3,SUTTER AV-RUTLD,9910217.125,321,3.23908140408175e-05
3,VAN SICLEN AV,3596239.5,191,5.31110344569654e-05
34,CROWN HTS-UTICA,27480846.25,1423,5.17815203743953e-05
4,149/GRAND CONC,13986427.4375,721,5.15499760908834e-05
4,167 ST,11498339.5,618,5.37468910184814e-05
4,170 ST,9195105.625,630,6.85147105093749e-05
4,176 ST,5578177.25,188,3.37027655404819e-05
4,183 ST,5717874,228,3.98749605185424e-05
4,BEDFORD PK BLVD,5541222,10,1.80465608488525e-06
4,BURNSIDE AV,9464090.75,471,4.97670629373456e-05
4,FORDHAM RD,7771008.5,363,4.6712083766219e-05
4,KINGSBRIDGE RD,8467318.25,922,0.000108889257823751
4,MOSHOLU PKWY,6611299.75,176,2.66210891436287e-05
4,MT EDEN AV,5514185.25,180,3.26430817680636e-05
4,WOODLAWN,5278997,343,6.49744638991081e-05
45,138/GRAND CONC,3744005,185,4.94123271737084e-05
45,BOWLING GREEN,25973593.875,289,1.11266851014471e-05
456,86 ST,44181499.875,732,1.65680205984632e-05
456,BROOKLYN BRIDGE,16323997.75,793,4.8578786406657e-05
4567S,GRD CNTRL-42 ST,132898629,1474,1.10911603158826e-05
456LNQRW,14 ST-UNION SQ,98410737.75,809,8.22064764980385e-06
456NQRW,59 ST,11688831.75,991,8.47817832607609e-05
456NRW,59 ST,40233637.625,483,1.20048802074978e-05
4BD,161/YANKEE STAD,18589946.25,1205,6.48199830055991e-05
5,BAYCHESTER AV,2466623.75,1,4.05412459034338e-07
5,EASTCHSTER/DYRE,5012834.25,285,5.68540641454483e-05
5,MORRIS PARK,2663944.25,57,2.13968441719454e-05
6,103 ST,14663435.5,426,2.90518548671626e-05
6,110 ST,11979036.5,548,4.57465840428819e-05
6,116 ST,14547041.5,1251,8.59968674730185e-05
6,28 ST,19709651.25,371,1.88232655816272e-05
6,3 AV 138 ST,5030498.75,730,0.000145114835780448
6,33 ST,24155182.375,266,1.10121296486382e-05
6,51 ST,19836547.125,755,3.80610594798766e-05
6,68ST-HUNTER CO,21739130,487,2.240200044804e-05
6,77 ST,27688711.96875,218,7.8732445281687e-06
6,96 ST,12930664.75,300,2.32006633688342e-05
6,ASTOR PL,17522763,160,9.13098008573191e-06
6,BROOK AV,7342146.25,262,3.56843886077589e-05
6,BUHRE AV,4309924.25,66,1.5313494198883e-05
6,CASTLE HILL AV,7884678.75,103,1.30633096497432e-05
6,CYPRESS AV,3854926,162,4.20241529928201e-05
6,E 143/ST MARY'S,1431823.5,75,5.23807578238519e-05
6,E 149 ST,5974798.625,224,3.74908032988308e-05
6,ELDER AV,8325510.5,166,1.99387172714514e-05
6,HUNTS POINT AV,10660674.75,423,3.96785391093561e-05
6,LONGWOOD AV,3573876,169,4.72875947570649e-05
6,MIDDLETOWN RD,2249547.75,65,2.88946967229302e-05
6,MORISN AV/SNDVW,7553368.75,465,6.15619355271117e-05
6,ORCHARD BEACH,805179.5,1,1.2419590911095e-06
6,PARKCHESTER,18776186.75,3,1.59776851388635e-07
